,workerid,id,response,sentence_a,sentence_b,shift_a,shift_b,slide_number_in_experiment
2504,83,185,7.0,John sells vacation houses from a famous architect from the 80s to American immigrants with college degrees in politics from Texas.,John sells American immigrants with college degrees in politics from Texas vacation houses from a famous architect from the 80s.,1.0,0.0,23
2506,83,155,7.0,John played a new song with a really good chorus for his new visiting exchange roommate from Korea.,John played his new visiting exchange roommate from Korea a new song with a really good chorus.,0.0,1.0,25
2507,83,180,7.0,John rents cheap apartments to wealthy college students with jobs in the city.,John rents wealthy college students with jobs in the city cheap apartments.,0.0,1.0,26
2508,83,255,7.0,Janet talked about the disorganized catastrophic failing project in the data for the analysis with her assigned team in the finance branch in the company.,Janet talked with her assigned team in the finance branch in the company about the disorganized catastrophic failing project in the data for the analysis.,0.0,1.0,27
2509,83,487,7.0,John worked out the monthly work schedule in the team.,John worked the monthly work schedule in the team out.,0.0,1.0,28
2513,104,255,1.0,Janet talked about the disorganized catastrophic failing project in the data for the analysis with her assigned team in the finance branch in the company.,Janet talked with her assigned team in the finance branch in the company about the disorganized catastrophic failing project in the data for the analysis.,0.0,1.0,5
2514,104,131,7.0,John cooked soup from his kitchen for Mary from the dorms.,John cooked Mary from the dorms soup from his kitchen.,0.0,1.0,6
2515,104,234,2.0,John cooked a grand hearty feast of pie with chicken from the farm for his hungry family of ten.,John cooked his hungry family of ten a grand hearty feast of pie with chicken from the farm.,0.0,1.0,7
2516,104,121,2.0,Melissa prepared over the weekend a wrapped present in a white box.,Melissa prepared a wrapped present in a white box over the weekend.,0.0,1.0,8
2518,104,226,4.0,John mailed flowers with trimmed stems from the nursery in town with a lace wrap to his good trusted longtime friend.,John mailed his good trusted longtime friend flowers with trimmed stems from the nursery in town with a lace wrap.,1.0,0.0,10
2519,104,155,5.0,John played a new song with a really good chorus for his new visiting exchange roommate from Korea.,John played his new visiting exchange roommate from Korea a new song with a really good chorus.,1.0,0.0,11
2520,104,151,2.0,John showed his handmade tailored silk outfit for the gala for the evening to his sister in college.,John showed his sister in college his handmade tailored silk outfit for the gala for the evening.,1.0,0.0,12
2521,104,35,6.0,Melissa taught at the college strenuous courses on astronomy from NASA.,Melissa taught strenuous courses on astronomy from NASA at the college.,1.0,0.0,13
2523,104,185,7.0,John sells vacation houses from a famous architect from the 80s to American immigrants with college degrees in politics from Texas.,John sells American immigrants with college degrees in politics from Texas vacation houses from a famous architect from the 80s.,0.0,1.0,15
2524,104,214,7.0,John rents small cheap studio apartments to wealthy college students at the campus.,John rents wealthy college students at the campus small cheap studio apartments.,0.0,1.0,16
2525,104,334,6.0,Janet chatted about the disorganized project for the paper during the annual academia charity conference in economics.,Janet chatted during the annual academia charity conference in economics about the disorganized project for the paper.,0.0,1.0,17
2526,104,282,2.0,Janet drove with a van for her supplies to advanced graduate class of the finance building.,Janet drove to advanced graduate class of the finance building with a van for her supplies.,0.0,1.0,18
2528,104,487,7.0,John worked out the monthly work schedule in the team.,John worked the monthly work schedule in the team out.,1.0,0.0,20
2529,104,452,4.0,John gave away his old broken toys.,John gave his old broken toys away.,1.0,0.0,21
2530,104,180,7.0,John rents cheap apartments to wealthy college students with jobs in the city.,John rents wealthy college students with jobs in the city cheap apartments.,1.0,0.0,22
2531,104,429,4.0,John called off his small family wedding with Anne in the afternoon.,John called his small family wedding with Anne in the afternoon off.,1.0,0.0,23
2533,104,447,7.0,John kept up his professional media appearance in public.,John kept his professional media appearance in public up.,0.0,1.0,25
2534,104,465,4.0,John brought up his kids from Wisconsin.,John brought his kids from Wisconsin up.,0.0,1.0,26
2535,104,294,6.0,Janet argued about the failing project in the data for the paper during the annual conference in Nepal.,Janet argued during the annual conference in Nepal about the failing project in the data for the paper.,0.0,1.0,27
2536,104,400,7.0,John hand in his finished paper in Helvetica font.,John hand his finished paper in Helvetica font in.,0.0,1.0,28
2540,50,234,2.0,John cooked a grand hearty feast of pie with chicken from the farm for his hungry family of ten.,John cooked his hungry family of ten a grand hearty feast of pie with chicken from the farm.,0.0,1.0,5
2541,50,294,6.0,Janet argued about the failing project in the data for the paper during the annual conference in Nepal.,Janet argued during the annual conference in Nepal about the failing project in the data for the paper.,0.0,1.0,6
2542,50,121,2.0,Melissa prepared over the weekend a wrapped present in a white box.,Melissa prepared a wrapped present in a white box over the weekend.,0.0,1.0,7
2543,50,255,2.0,Janet talked about the disorganized catastrophic failing project in the data for the analysis with her assigned team in the finance branch in the company.,Janet talked with her assigned team in the finance branch in the company about the disorganized catastrophic failing project in the data for the analysis.,0.0,1.0,8
2545,50,226,6.0,John mailed flowers with trimmed stems from the nursery in town with a lace wrap to his good trusted longtime friend.,John mailed his good trusted longtime friend flowers with trimmed stems from the nursery in town with a lace wrap.,1.0,0.0,10
2546,50,180,7.0,John rents cheap apartments to wealthy college students with jobs in the city.,John rents wealthy college students with jobs in the city cheap apartments.,1.0,0.0,11
2547,50,185,6.0,John sells vacation houses from a famous architect from the 80s to American immigrants with college degrees in politics from Texas.,John sells American immigrants with college degrees in politics from Texas vacation houses from a famous architect from the 80s.,1.0,0.0,12
2548,50,429,7.0,John called off his small family wedding with Anne in the afternoon.,John called his small family wedding with Anne in the afternoon off.,1.0,0.0,13
2550,50,35,6.0,Melissa taught at the college strenuous courses on astronomy from NASA.,Melissa taught strenuous courses on astronomy from NASA at the college.,0.0,1.0,15
2551,50,447,5.0,John kept up his professional media appearance in public.,John kept his professional media appearance in public up.,0.0,1.0,16
2552,50,214,7.0,John rents small cheap studio apartments to wealthy college students at the campus.,John rents wealthy college students at the campus small cheap studio apartments.,0.0,1.0,17
2553,50,465,3.0,John brought up his kids from Wisconsin.,John brought his kids from Wisconsin up.,0.0,1.0,18
2555,50,452,6.0,John gave away his old broken toys.,John gave his old broken toys away.,1.0,0.0,20
2556,50,400,5.0,John hand in his finished paper in Helvetica font.,John hand his finished paper in Helvetica font in.,1.0,0.0,21
2557,50,334,6.0,Janet chatted about the disorganized project for the paper during the annual academia charity conference in economics.,Janet chatted during the annual academia charity conference in economics about the disorganized project for the paper.,1.0,0.0,22
2558,50,131,5.0,John cooked soup from his kitchen for Mary from the dorms.,John cooked Mary from the dorms soup from his kitchen.,1.0,0.0,23
2560,50,282,4.0,Janet drove with a van for her supplies to advanced graduate class of the finance building.,Janet drove to advanced graduate class of the finance building with a van for her supplies.,0.0,1.0,25
2561,50,487,7.0,John worked out the monthly work schedule in the team.,John worked the monthly work schedule in the team out.,0.0,1.0,26
2562,50,151,2.0,John showed his handmade tailored silk outfit for the gala for the evening to his sister in college.,John showed his sister in college his handmade tailored silk outfit for the gala for the evening.,0.0,1.0,27
2563,50,155,7.0,John played a new song with a really good chorus for his new visiting exchange roommate from Korea.,John played his new visiting exchange roommate from Korea a new song with a really good chorus.,0.0,1.0,28
2567,57,300,3.0,Janet argued about the catastrophic failing project for the analysis for the paper during the internal meeting.,Janet argued during the internal meeting about the catastrophic failing project for the analysis for the paper.,0.0,1.0,5
2568,57,489,6.0,John threw away the stinky moldy leftovers in the fridge.,John threw the stinky moldy leftovers in the fridge away.,0.0,1.0,6
2569,57,375,7.0,John hand in his performance reviews of company research.,John hand his performance reviews of company research in.,0.0,1.0,7
2570,57,424,7.0,John set up the annual competitive hacking event for computer scientists at the university.,John set the annual competitive hacking event for computer scientists at the university up.,0.0,1.0,8
2572,57,239,5.0,John sells apartments to fresh American immigrants with college degrees in politics from Texas.,John sells fresh American immigrants with college degrees in politics from Texas apartments.,1.0,0.0,10
2573,57,462,7.0,John put on his jersey with the number for the goalie of the Habs.,John put his jersey with the number for the goalie of the Habs on.,1.0,0.0,11
2574,57,305,5.0,Janet argued about the catastrophic project in the data for the paper during the internal meeting.,Janet argued during the internal meeting about the catastrophic project in the data for the paper.,1.0,0.0,12
2575,57,167,4.0,John showed his expensive handmade outfit for the gala to the tour group from America.,John showed the tour group from America his expensive handmade outfit for the gala.,1.0,0.0,13
2577,57,488,7.0,John worked out his initial dream idea for school.,John worked his initial dream idea for school out.,0.0,1.0,15
2578,57,28,3.0,Melissa completed at her university fascinating strenuous courses for her graduate program on astronomy under the famous professor.,Melissa completed fascinating strenuous courses for her graduate program on astronomy under the famous professor at her university.,0.0,1.0,16
2579,57,248,3.0,John showed his expensive handmade tailored silk outfit for the gala for the evening to his sister in college.,John showed his sister in college his expensive handmade tailored silk outfit for the gala for the evening.,0.0,1.0,17
2580,57,349,3.0,Janet went in her small green electric car for her trip to advanced graduate economics class on the second floor in the downtown campus.,Janet went to advanced graduate economics class on the second floor in the downtown campus in her small green electric car for her trip.,0.0,1.0,18
2582,57,209,3.0,John wrote a polite message about his travel in Europe for his work to his religious family from the farms.,John wrote his religious family from the farms a polite message about his travel in Europe for his work.,1.0,0.0,20
2583,57,140,2.0,John showed the tall building with the dome to the large crowded tour group with bags with maps from America.,John showed the large crowded tour group with bags with maps from America the tall building with the dome.,1.0,0.0,21
2584,57,193,2.0,John showed a novice movie to his mom.,John showed his mom a novice movie.,1.0,0.0,22
2585,57,165,3.0,John wrote a long letter with bank information for the financial account to his religious family in the plains.,John wrote his religious family in the plains a long letter with bank information for the financial account.,1.0,0.0,23
2587,57,272,5.0,Janet negotiatied about a generous annual raise for the budget for her project with her new assigned team for stock predictions in the company.,Janet negotiatied with her new assigned team for stock predictions in the company about a generous annual raise for the budget for her project.,0.0,1.0,25
2588,57,268,4.0,Janet went in a heavy loaded truck to the warm sandy surfing beach on the coast in the countryside.,Janet went to the warm sandy surfing beach on the coast in the countryside in a heavy loaded truck.,0.0,1.0,26
2589,57,89,6.0,Melissa gifted to the team a gold trophy with her name for her performance.,Melissa gifted a gold trophy with her name for her performance to the team.,0.0,1.0,27
2590,57,208,6.0,John constructed a speed boat with powered engines for driving on the water for the poor orphaned children from the disaster.,John constructed the poor orphaned children from the disaster a speed boat with powered engines for driving on the water.,0.0,1.0,28
2594,129,193,6.0,John showed a novice movie to his mom.,John showed his mom a novice movie.,0.0,1.0,5
2595,129,375,2.0,John hand in his performance reviews of company research.,John hand his performance reviews of company research in.,0.0,1.0,6
2596,129,272,2.0,Janet negotiatied about a generous annual raise for the budget for her project with her new assigned team for stock predictions in the company.,Janet negotiatied with her new assigned team for stock predictions in the company about a generous annual raise for the budget for her project.,0.0,1.0,7
2597,129,300,6.0,Janet argued about the catastrophic failing project for the analysis for the paper during the internal meeting.,Janet argued during the internal meeting about the catastrophic failing project for the analysis for the paper.,0.0,1.0,8
2599,129,424,7.0,John set up the annual competitive hacking event for computer scientists at the university.,John set the annual competitive hacking event for computer scientists at the university up.,1.0,0.0,10
2600,129,140,7.0,John showed the tall building with the dome to the large crowded tour group with bags with maps from America.,John showed the large crowded tour group with bags with maps from America the tall building with the dome.,1.0,0.0,11
2601,129,165,7.0,John wrote a long letter with bank information for the financial account to his religious family in the plains.,John wrote his religious family in the plains a long letter with bank information for the financial account.,1.0,0.0,12
2602,129,489,7.0,John threw away the stinky moldy leftovers in the fridge.,John threw the stinky moldy leftovers in the fridge away.,1.0,0.0,13
2604,129,28,1.0,Melissa completed at her university fascinating strenuous courses for her graduate program on astronomy under the famous professor.,Melissa completed fascinating strenuous courses for her graduate program on astronomy under the famous professor at her university.,0.0,1.0,15
2605,129,209,7.0,John wrote a polite message about his travel in Europe for his work to his religious family from the farms.,John wrote his religious family from the farms a polite message about his travel in Europe for his work.,0.0,1.0,16
2606,129,208,7.0,John constructed a speed boat with powered engines for driving on the water for the poor orphaned children from the disaster.,John constructed the poor orphaned children from the disaster a speed boat with powered engines for driving on the water.,0.0,1.0,17
2607,129,239,7.0,John sells apartments to fresh American immigrants with college degrees in politics from Texas.,John sells fresh American immigrants with college degrees in politics from Texas apartments.,0.0,1.0,18
2609,129,462,1.0,John put on his jersey with the number for the goalie of the Habs.,John put his jersey with the number for the goalie of the Habs on.,1.0,0.0,20
2610,129,349,7.0,Janet went in her small green electric car for her trip to advanced graduate economics class on the second floor in the downtown campus.,Janet went to advanced graduate economics class on the second floor in the downtown campus in her small green electric car for her trip.,1.0,0.0,21
2611,129,268,7.0,Janet went in a heavy loaded truck to the warm sandy surfing beach on the coast in the countryside.,Janet went to the warm sandy surfing beach on the coast in the countryside in a heavy loaded truck.,1.0,0.0,22
2612,129,488,7.0,John worked out his initial dream idea for school.,John worked his initial dream idea for school out.,1.0,0.0,23
2614,129,167,7.0,John showed his expensive handmade outfit for the gala to the tour group from America.,John showed the tour group from America his expensive handmade outfit for the gala.,0.0,1.0,25
2615,129,305,1.0,Janet argued about the catastrophic project in the data for the paper during the internal meeting.,Janet argued during the internal meeting about the catastrophic project in the data for the paper.,0.0,1.0,26
2616,129,89,7.0,Melissa gifted to the team a gold trophy with her name for her performance.,Melissa gifted a gold trophy with her name for her performance to the team.,0.0,1.0,27
2617,129,248,7.0,John showed his expensive handmade tailored silk outfit for the gala for the evening to his sister in college.,John showed his sister in college his expensive handmade tailored silk outfit for the gala for the evening.,0.0,1.0,28
2621,29,489,6.0,John threw away the stinky moldy leftovers in the fridge.,John threw the stinky moldy leftovers in the fridge away.,0.0,1.0,5
2622,29,208,7.0,John constructed a speed boat with powered engines for driving on the water for the poor orphaned children from the disaster.,John constructed the poor orphaned children from the disaster a speed boat with powered engines for driving on the water.,0.0,1.0,6
2623,29,89,5.0,Melissa gifted to the team a gold trophy with her name for her performance.,Melissa gifted a gold trophy with her name for her performance to the team.,0.0,1.0,7
2624,29,305,7.0,Janet argued about the catastrophic project in the data for the paper during the internal meeting.,Janet argued during the internal meeting about the catastrophic project in the data for the paper.,0.0,1.0,8
2626,29,375,4.0,John hand in his performance reviews of company research.,John hand his performance reviews of company research in.,1.0,0.0,10
2627,29,488,7.0,John worked out his initial dream idea for school.,John worked his initial dream idea for school out.,1.0,0.0,11
2628,29,209,7.0,John wrote a polite message about his travel in Europe for his work to his religious family from the farms.,John wrote his religious family from the farms a polite message about his travel in Europe for his work.,1.0,0.0,12
2629,29,165,1.0,John wrote a long letter with bank information for the financial account to his religious family in the plains.,John wrote his religious family in the plains a long letter with bank information for the financial account.,1.0,0.0,13
2631,29,248,1.0,John showed his expensive handmade tailored silk outfit for the gala for the evening to his sister in college.,John showed his sister in college his expensive handmade tailored silk outfit for the gala for the evening.,0.0,1.0,15
2632,29,28,1.0,Melissa completed at her university fascinating strenuous courses for her graduate program on astronomy under the famous professor.,Melissa completed fascinating strenuous courses for her graduate program on astronomy under the famous professor at her university.,0.0,1.0,16
2633,29,300,7.0,Janet argued about the catastrophic failing project for the analysis for the paper during the internal meeting.,Janet argued during the internal meeting about the catastrophic failing project for the analysis for the paper.,0.0,1.0,17
2634,29,167,1.0,John showed his expensive handmade outfit for the gala to the tour group from America.,John showed the tour group from America his expensive handmade outfit for the gala.,0.0,1.0,18
2636,29,272,7.0,Janet negotiatied about a generous annual raise for the budget for her project with her new assigned team for stock predictions in the company.,Janet negotiatied with her new assigned team for stock predictions in the company about a generous annual raise for the budget for her project.,1.0,0.0,20
2637,29,268,1.0,Janet went in a heavy loaded truck to the warm sandy surfing beach on the coast in the countryside.,Janet went to the warm sandy surfing beach on the coast in the countryside in a heavy loaded truck.,1.0,0.0,21
2638,29,239,7.0,John sells apartments to fresh American immigrants with college degrees in politics from Texas.,John sells fresh American immigrants with college degrees in politics from Texas apartments.,1.0,0.0,22
2639,29,193,4.0,John showed a novice movie to his mom.,John showed his mom a novice movie.,1.0,0.0,23
2641,29,424,7.0,John set up the annual competitive hacking event for computer scientists at the university.,John set the annual competitive hacking event for computer scientists at the university up.,0.0,1.0,25
2642,29,140,7.0,John showed the tall building with the dome to the large crowded tour group with bags with maps from America.,John showed the large crowded tour group with bags with maps from America the tall building with the dome.,0.0,1.0,26
2643,29,349,6.0,Janet went in her small green electric car for her trip to advanced graduate economics class on the second floor in the downtown campus.,Janet went to advanced graduate economics class on the second floor in the downtown campus in her small green electric car for her trip.,0.0,1.0,27
2644,29,462,7.0,John put on his jersey with the number for the goalie of the Habs.,John put his jersey with the number for the goalie of the Habs on.,0.0,1.0,28
2648,111,209,4.0,John wrote a polite message about his travel in Europe for his work to his religious family from the farms.,John wrote his religious family from the farms a polite message about his travel in Europe for his work.,0.0,1.0,5
2649,111,193,3.0,John showed a novice movie to his mom.,John showed his mom a novice movie.,0.0,1.0,6
2650,111,349,6.0,Janet went in her small green electric car for her trip to advanced graduate economics class on the second floor in the downtown campus.,Janet went to advanced graduate economics class on the second floor in the downtown campus in her small green electric car for her trip.,0.0,1.0,7
2651,111,140,6.0,John showed the tall building with the dome to the large crowded tour group with bags with maps from America.,John showed the large crowded tour group with bags with maps from America the tall building with the dome.,0.0,1.0,8
2653,111,89,4.0,Melissa gifted to the team a gold trophy with her name for her performance.,Melissa gifted a gold trophy with her name for her performance to the team.,1.0,0.0,10
2654,111,300,4.0,Janet argued about the catastrophic failing project for the analysis for the paper during the internal meeting.,Janet argued during the internal meeting about the catastrophic failing project for the analysis for the paper.,1.0,0.0,11
2655,111,28,1.0,Melissa completed at her university fascinating strenuous courses for her graduate program on astronomy under the famous professor.,Melissa completed fascinating strenuous courses for her graduate program on astronomy under the famous professor at her university.,1.0,0.0,12
2656,111,272,2.0,Janet negotiatied about a generous annual raise for the budget for her project with her new assigned team for stock predictions in the company.,Janet negotiatied with her new assigned team for stock predictions in the company about a generous annual raise for the budget for her project.,1.0,0.0,13
2658,111,268,6.0,Janet went in a heavy loaded truck to the warm sandy surfing beach on the coast in the countryside.,Janet went to the warm sandy surfing beach on the coast in the countryside in a heavy loaded truck.,0.0,1.0,15
2659,111,248,6.0,John showed his expensive handmade tailored silk outfit for the gala for the evening to his sister in college.,John showed his sister in college his expensive handmade tailored silk outfit for the gala for the evening.,0.0,1.0,16
2660,111,488,7.0,John worked out his initial dream idea for school.,John worked his initial dream idea for school out.,0.0,1.0,17
2661,111,489,4.0,John threw away the stinky moldy leftovers in the fridge.,John threw the stinky moldy leftovers in the fridge away.,0.0,1.0,18
2663,111,305,4.0,Janet argued about the catastrophic project in the data for the paper during the internal meeting.,Janet argued during the internal meeting about the catastrophic project in the data for the paper.,1.0,0.0,20
2664,111,239,5.0,John sells apartments to fresh American immigrants with college degrees in politics from Texas.,John sells fresh American immigrants with college degrees in politics from Texas apartments.,1.0,0.0,21
2665,111,167,4.0,John showed his expensive handmade outfit for the gala to the tour group from America.,John showed the tour group from America his expensive handmade outfit for the gala.,1.0,0.0,22
2666,111,165,1.0,John wrote a long letter with bank information for the financial account to his religious family in the plains.,John wrote his religious family in the plains a long letter with bank information for the financial account.,1.0,0.0,23
2668,111,375,4.0,John hand in his performance reviews of company research.,John hand his performance reviews of company research in.,0.0,1.0,25
2669,111,424,7.0,John set up the annual competitive hacking event for computer scientists at the university.,John set the annual competitive hacking event for computer scientists at the university up.,0.0,1.0,26
2670,111,462,6.0,John put on his jersey with the number for the goalie of the Habs.,John put his jersey with the number for the goalie of the Habs on.,0.0,1.0,27
2671,111,208,7.0,John constructed a speed boat with powered engines for driving on the water for the poor orphaned children from the disaster.,John constructed the poor orphaned children from the disaster a speed boat with powered engines for driving on the water.,0.0,1.0,28
2675,82,28,2.0,Melissa completed at her university fascinating strenuous courses for her graduate program on astronomy under the famous professor.,Melissa completed fascinating strenuous courses for her graduate program on astronomy under the famous professor at her university.,0.0,1.0,5
2676,82,375,5.0,John hand in his performance reviews of company research.,John hand his performance reviews of company research in.,0.0,1.0,6
2677,82,209,6.0,John wrote a polite message about his travel in Europe for his work to his religious family from the farms.,John wrote his religious family from the farms a polite message about his travel in Europe for his work.,0.0,1.0,7
2678,82,462,6.0,John put on his jersey with the number for the goalie of the Habs.,John put his jersey with the number for the goalie of the Habs on.,0.0,1.0,8
2680,82,239,6.0,John sells apartments to fresh American immigrants with college degrees in politics from Texas.,John sells fresh American immigrants with college degrees in politics from Texas apartments.,1.0,0.0,10
2681,82,165,2.0,John wrote a long letter with bank information for the financial account to his religious family in the plains.,John wrote his religious family in the plains a long letter with bank information for the financial account.,1.0,0.0,11
2682,82,167,3.0,John showed his expensive handmade outfit for the gala to the tour group from America.,John showed the tour group from America his expensive handmade outfit for the gala.,1.0,0.0,12
2683,82,193,2.0,John showed a novice movie to his mom.,John showed his mom a novice movie.,1.0,0.0,13
2685,82,424,6.0,John set up the annual competitive hacking event for computer scientists at the university.,John set the annual competitive hacking event for computer scientists at the university up.,0.0,1.0,15
2686,82,208,6.0,John constructed a speed boat with powered engines for driving on the water for the poor orphaned children from the disaster.,John constructed the poor orphaned children from the disaster a speed boat with powered engines for driving on the water.,0.0,1.0,16
2687,82,140,3.0,John showed the tall building with the dome to the large crowded tour group with bags with maps from America.,John showed the large crowded tour group with bags with maps from America the tall building with the dome.,0.0,1.0,17
2688,82,300,6.0,Janet argued about the catastrophic failing project for the analysis for the paper during the internal meeting.,Janet argued during the internal meeting about the catastrophic failing project for the analysis for the paper.,0.0,1.0,18
2690,82,305,3.0,Janet argued about the catastrophic project in the data for the paper during the internal meeting.,Janet argued during the internal meeting about the catastrophic project in the data for the paper.,1.0,0.0,20
2691,82,488,4.0,John worked out his initial dream idea for school.,John worked his initial dream idea for school out.,1.0,0.0,21
2692,82,89,2.0,Melissa gifted to the team a gold trophy with her name for her performance.,Melissa gifted a gold trophy with her name for her performance to the team.,1.0,0.0,22
2693,82,248,3.0,John showed his expensive handmade tailored silk outfit for the gala for the evening to his sister in college.,John showed his sister in college his expensive handmade tailored silk outfit for the gala for the evening.,1.0,0.0,23
2695,82,489,1.0,John threw away the stinky moldy leftovers in the fridge.,John threw the stinky moldy leftovers in the fridge away.,0.0,1.0,25
2696,82,349,6.0,Janet went in her small green electric car for her trip to advanced graduate economics class on the second floor in the downtown campus.,Janet went to advanced graduate economics class on the second floor in the downtown campus in her small green electric car for her trip.,0.0,1.0,26
2697,82,272,5.0,Janet negotiatied about a generous annual raise for the budget for her project with her new assigned team for stock predictions in the company.,Janet negotiatied with her new assigned team for stock predictions in the company about a generous annual raise for the budget for her project.,0.0,1.0,27
2698,82,268,5.0,Janet went in a heavy loaded truck to the warm sandy surfing beach on the coast in the countryside.,Janet went to the warm sandy surfing beach on the coast in the countryside in a heavy loaded truck.,0.0,1.0,28
2702,56,195,7.0,John made a hearty feast with chicken from the farm for his mother at the care home in Miami.,John made his mother at the care home in Miami a hearty feast with chicken from the farm.,0.0,1.0,5
2703,56,134,4.0,John showed the Baroque church building with the dome from Italy to the group with maps.,John showed the group with maps the Baroque church building with the dome from Italy.,0.0,1.0,6
2704,56,451,7.0,John worked out the secret ambitious foolproof plan for the next season.,John worked the secret ambitious foolproof plan for the next season out.,0.0,1.0,7
2705,56,88,2.0,Melissa prepared for the party a multilevel vanilla sponge cake with pink bows.,Melissa prepared a multilevel vanilla sponge cake with pink bows for the party.,0.0,1.0,8
2707,56,174,1.0,John gave a red car with drivers assistance for safe commuting to his trusted friend with the medical degree from Michigan.,John gave his trusted friend with the medical degree from Michigan a red car with drivers assistance for safe commuting.,1.0,0.0,10
2708,56,250,1.0,Janet drove with a large rented van with space for her supplies to the annual charity event in the convention center.,Janet drove to the annual charity event in the convention center with a large rented van with space for her supplies.,1.0,0.0,11
2709,56,331,4.0,Janet argued about the failing project in the data during the dedicated internal complaints meeting.,Janet argued during the dedicated internal complaints meeting about the failing project in the data.,1.0,0.0,12
2710,56,46,1.0,Melissa taught during the day courses for her graduate program on astronomy under the famous professor.,Melissa taught courses for her graduate program on astronomy under the famous professor during the day.,1.0,0.0,13
2712,56,75,7.0,Melissa baked in her kitchen a present with red ribbon.,Melissa baked a present with red ribbon in her kitchen.,0.0,1.0,15
2713,56,93,1.0,Melissa brought when she arrived cold sweet drinks from the bodega in her bag.,Melissa brought cold sweet drinks from the bodega in her bag when she arrived.,0.0,1.0,16
2714,56,197,6.0,John sent a red car with drivers assistance to his good trusted friend from Michigan.,John sent his good trusted friend from Michigan a red car with drivers assistance.,0.0,1.0,17
2715,56,413,7.0,John turned in his broken speed gun with radar.,John turned his broken speed gun with radar in.,0.0,1.0,18
2717,56,467,7.0,John looks up the new popular Italian restaurant with the famous pasta with tomatoes.,John looks the new popular Italian restaurant with the famous pasta with tomatoes up.,1.0,0.0,20
2718,56,99,3.0,Melissa presented to the team a large check from the hosts from the organization.,Melissa presented a large check from the hosts from the organization to the team.,1.0,0.0,21
2719,56,450,7.0,John looks up the new restaurant.,John looks the new restaurant up.,1.0,0.0,22
2720,56,159,4.0,John prepared a grand feast of pie from the farm for the homeless man on the street.,John prepared the homeless man on the street a grand feast of pie from the farm.,1.0,0.0,23
2722,56,228,4.0,John sent a written letter with bank information for the financial account to his extended family from the farms in the plains in Kansas.,John sent his extended family from the farms in the plains in Kansas a written letter with bank information for the financial account.,0.0,1.0,25
2723,56,372,2.0,Janet met at the cafe with her good friend Emily and her friends.,Janet met with her good friend Emily and her friends at the cafe.,0.0,1.0,26
2724,56,461,7.0,John looks up the popular Italian restaurant with the famous pasta.,John looks the popular Italian restaurant with the famous pasta up.,0.0,1.0,27
2725,56,412,7.0,John takes apart the television remote from Craiglist.,John takes the television remote from Craiglist apart.,0.0,1.0,28
2729,81,174,6.0,John gave a red car with drivers assistance for safe commuting to his trusted friend with the medical degree from Michigan.,John gave his trusted friend with the medical degree from Michigan a red car with drivers assistance for safe commuting.,0.0,1.0,5
2730,81,75,2.0,Melissa baked in her kitchen a present with red ribbon.,Melissa baked a present with red ribbon in her kitchen.,0.0,1.0,6
2731,81,331,6.0,Janet argued about the failing project in the data during the dedicated internal complaints meeting.,Janet argued during the dedicated internal complaints meeting about the failing project in the data.,0.0,1.0,7
2732,81,134,6.0,John showed the Baroque church building with the dome from Italy to the group with maps.,John showed the group with maps the Baroque church building with the dome from Italy.,0.0,1.0,8
2734,81,372,5.0,Janet met at the cafe with her good friend Emily and her friends.,Janet met with her good friend Emily and her friends at the cafe.,1.0,0.0,10
2735,81,228,2.0,John sent a written letter with bank information for the financial account to his extended family from the farms in the plains in Kansas.,John sent his extended family from the farms in the plains in Kansas a written letter with bank information for the financial account.,1.0,0.0,11
2736,81,461,6.0,John looks up the popular Italian restaurant with the famous pasta.,John looks the popular Italian restaurant with the famous pasta up.,1.0,0.0,12
2737,81,46,2.0,Melissa taught during the day courses for her graduate program on astronomy under the famous professor.,Melissa taught courses for her graduate program on astronomy under the famous professor during the day.,1.0,0.0,13
2739,81,93,1.0,Melissa brought when she arrived cold sweet drinks from the bodega in her bag.,Melissa brought cold sweet drinks from the bodega in her bag when she arrived.,0.0,1.0,15
2740,81,467,7.0,John looks up the new popular Italian restaurant with the famous pasta with tomatoes.,John looks the new popular Italian restaurant with the famous pasta with tomatoes up.,0.0,1.0,16
2741,81,250,2.0,Janet drove with a large rented van with space for her supplies to the annual charity event in the convention center.,Janet drove to the annual charity event in the convention center with a large rented van with space for her supplies.,0.0,1.0,17
2742,81,413,5.0,John turned in his broken speed gun with radar.,John turned his broken speed gun with radar in.,0.0,1.0,18
2744,81,451,6.0,John worked out the secret ambitious foolproof plan for the next season.,John worked the secret ambitious foolproof plan for the next season out.,1.0,0.0,20
2745,81,450,6.0,John looks up the new restaurant.,John looks the new restaurant up.,1.0,0.0,21
2746,81,197,3.0,John sent a red car with drivers assistance to his good trusted friend from Michigan.,John sent his good trusted friend from Michigan a red car with drivers assistance.,1.0,0.0,22
2747,81,99,3.0,Melissa presented to the team a large check from the hosts from the organization.,Melissa presented a large check from the hosts from the organization to the team.,1.0,0.0,23
2749,81,88,2.0,Melissa prepared for the party a multilevel vanilla sponge cake with pink bows.,Melissa prepared a multilevel vanilla sponge cake with pink bows for the party.,0.0,1.0,25
2750,81,412,6.0,John takes apart the television remote from Craiglist.,John takes the television remote from Craiglist apart.,0.0,1.0,26
2751,81,195,2.0,John made a hearty feast with chicken from the farm for his mother at the care home in Miami.,John made his mother at the care home in Miami a hearty feast with chicken from the farm.,0.0,1.0,27
